state.y,state_name.x,gdp,gdp_capita,population.x,population_density,state_name.y,hospital_beds,total_cases,total_deaths,population.y,cases_pop,deaths_pop
AK,Alaska,50246.7,68.722,733390,1,Alaska,2.2,69186,352,733390,0.09433725575750965,4.799629119568033e-4
AL,Alabama,224870.6,45.691,5024279,37,Alabama,3.1,540891,11045,5024279,0.10765544668200154,0.002198325371660292
AR,Arkansas,129073.9,42.591,3011524,22,Arkansas,3.2,339406,5805,3011524,0.11270240582509056,0.001927595463293668
AZ,Arizona,372461,50.187,7151502,23,Arizona,1.9,874605,17497,7151502,0.12229668676594092,0.0024466189060703613
CA,California,3091871.5,78.538,39538223,97,California,1.8,3772740,62759,39538223,0.09542006983975987,0.001587299459563471
CO,Colorado,390098.7,67.169,5773714,20,Colorado,1.9,536892,6611,5773714,0.09298901885337583,0.001145016881681358
CT,Connecticut,280900.3,78.971,3605944,286,Connecticut,2,345948,8204,3605944,0.09593826193640279,0.0022751323925163562
DC,District of Columbia,143532.7,201.36,689550,4251,District of Columbia,4.4,48634,1124,689550,0.07053005583351461,0.0016300485824088174
DE,Delaware,75512.5,76.522,989950,187,Delaware,2.2,107928,1652,989950,0.10902368806505379,0.0016687711500580837
FL,Florida,1095888.2,50.424,21538187,145,Florida,2.6,2299588,36270,21538187,0.10676794662429108,0.00168398575051837
GA,Georgia,619240,57.819,10711908,68,Georgia,2.4,1092959,19921,10711908,0.10203214964131507,0.0018597060392975743
HI,Hawaii,89856.2,63.863,1455271,86,Hawaii,1.9,34396,489,1455271,0.02363546033694068,3.3601988907907876e-4
IA,Iowa,192710.2,60.916,3190369,21,Iowa,3,369987,6018,3190369,0.11596997087170795,0.0018863021800926477
ID,Idaho,84032.2,45.997,1839106,7,Idaho,1.9,190784,2076,1839106,0.10373735934742206,0.0011288093236605176
IL,Illinois,863516.7,68.601,12812508,89,Illinois,2.5,1374215,24864,12812508,0.10725573790861243,0.001940603666354784
IN,Indiana,372636.7,55.165,6785528,71,Indiana,2.7,740613,13518,6785528,0.10914596476501165,0.001992181006400681
KS,Kansas,173298.3,59.475,2937880,14,Kansas,3.3,314639,5089,2937880,0.1070972946478413,0.0017322014513867143
KY,Kentucky,210024.2,46.909,4505836,43,Kentucky,3.2,456510,6846,4505836,0.10131527201611422,0.001519362888485067
LA,Louisiana,241990.8,52.093,4657757,41,Louisiana,3.3,467055,10509,4657757,0.10027466009927095,0.002256236209832329
MA,Massachusetts,584039,84.722,7029917,336,Massachusetts,2.3,703292,17794,7029917,0.10004271743179897,0.00253118208934757
MD,Maryland,422726.4,69.805,6177224,238,Maryland,1.9,456956,8957,6177224,0.07397432892185875,0.0014500040795023784
ME,Maine,66196,49.029,1362359,16,Maine,2.5,66315,807,1362359,0.04867659699095466,5.923548785599097e-4
MI,Michigan,515928.3,51.766,10077331,67,Michigan,2.5,981455,19915,10077331,0.09739235517817169,0.0019762177108204543
MN,Minnesota,374351.8,66.171,5706494,26,Minnesota,2.5,596279,7418,5706494,0.10449130411772974,0.0012999225093376073
MO,Missouri,321708.8,52.297,6154913,34,Missouri,3.1,610209,9550,6154913,0.09914177503402566,0.0015516060097031429
MS,Mississippi,114200.6,38.493,2961279,24,Mississippi,4,315891,7269,2961279,0.10667383924311083,0.0024546825881654514
MT,Montana,51488.7,47.649,1084225,2,Montana,3.3,111095,1602,1084225,0.10246489427932394,0.0014775530909174755
NC,North Carolina,586136.2,55.292,10439388,79,North Carolina,2.1,1001007,12962,10439388,0.0958875175441319,0.001241643667234133
ND,North Dakota,54032.9,70.603,779090,4,North Dakota,4.3,109392,1536,779090,0.14040996547253848,0.0019715308886008036
NE,Nebraska,128808.7,66.48,1961504,9,Nebraska,3.6,222676,2387,1961504,0.11352309248413463,0.0012169233404571186
NH,New Hampshire,85109.3,62.293,1377529,57,New Hampshire,2.1,97978,1340,1377529,0.07112590733117052,9.727562904301833e-4
NJ,New Jersey,619061.1,69.695,9288994,470,New Jersey,2.4,1012196,26018,9288994,0.10896723584922113,0.002800949166292927
NM,New Mexico,100310.1,47.623,2117522,6,New Mexico,1.8,201489,4124,2117522,0.09515320265857923,0.0019475594586502525
NV,Nevada,172597.6,54.998,3104614,10,Nevada,2.1,321716,5545,3104614,0.10362512054638677,0.0017860513416482692
NY,New York,1699044.7,87.866,20201249,162,New York,2.7,2087900,52505,20201249,0.10335499552527667,0.002599096719217708
OH,Ohio,675037.3,57.729,11799448,109,Ohio,2.8,1093534,19628,11799448,0.0926767082663528,0.0016634676469611121
OK,Oklahoma,186581.4,46.871,3959353,22,Oklahoma,2.8,451473,6918,3959353,0.11402696349630861,0.0017472551702260445
OR,Oregon,250458.5,59.049,4237256,16,Oregon,1.6,196845,2627,4237256,0.04645577232057728,6.199767019033072e-4
PA,Pennsylvania,780176.1,61.031,13002700,110,Pennsylvania,2.9,1194659,26981,13002700,0.09187776384904674,0.0020750305705738038
RI,Rhode Island,60224.7,56.97,1097379,394,Rhode Island,2.1,150737,2703,1097379,0.13736092999774918,0.002463141722230879
SC,South Carolina,241688.7,46.318,5118425,62,South Carolina,2.4,589488,9667,5118425,0.11516980321094868,0.0018886669239072567
SD,South Dakota,54852.1,61.444,886670,4,South Dakota,4.8,123822,1994,886670,0.13964834718666472,0.0022488637260762176
TN,Tennessee,364485.9,52.925,6910840,61,Tennessee,2.9,844579,12254,6910840,0.1222107587500217,0.001773156374623056
TX,Texas,1759734.4,59.935,29145505,40,Texas,2.3,2937010,51238,29145505,0.10077059910267466,0.0017580069379480644
UT,Utah,194985.8,59.998,3271616,14,Utah,1.8,403488,2275,3271616,0.12332987734501849,6.953750073358243e-4
VA,Virginia,551760.3,64.229,8631393,81,Virginia,2.1,671325,11048,8631393,0.07777713284518502,0.0012799787936895006
VT,Vermont,32796.7,52.614,643080,26,Vermont,2.1,23988,255,643080,0.03730173539839522,3.96529203209554e-4
WA,Washington,618704.9,80.418,7705281,41,Washington,1.7,426949,5720,7705281,0.055409919508451415,7.423480078143809e-4
WI,Wisconsin,338678.4,58.066,5893718,41,Wisconsin,2.1,671089,7732,5893718,0.11386513572586948,0.0013119053202070407
WV,West Virginia,73709.2,41.299,1793716,29,West Virginia,3.8,159149,2821,1793716,0.08872586295712365,0.0015727127371334146
WY,Wyoming,36241.5,62.236,576850,2,Wyoming,3.5,59376,713,576850,0.10293143798214441,0.0012360232296090839
